Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.17532467532467533,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.41474820143884894,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2395736793327155,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3042923926901828,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5032381866154954,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.26673040152963673,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5744047619047619,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7820884699057288,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7780748663101604,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7088353413654619,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8397965670692944,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
398,b85ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7792823290453622,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
396,ba5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2088724584103512,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
396,ba5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4533475783475783,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
396,ba5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2184336707511987,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
