Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.22864321608040197,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4287526427061311,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.18776595744680846,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3157142857142857,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4943197561651427,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3014705882352941,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5932773109243697,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7812364894076956,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7340619307832422,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7244960293219304,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8460448642266825,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
396,863e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7921980495123779,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.1850941850941851,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4219881500987492,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.249871729091842,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.31919561243144423,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5139678615574784,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.28849456210646823,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5757196495619524,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7969102027679433,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7978119935170178,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7157454714352067,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8489357305228353,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
398,843e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8144409937888198,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.23087621696801114,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4359194170595799,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.22846025569760975,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3577121425222691,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5472295514511873,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.32624867162592985,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6074600355239786,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7728471001757469,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7533632286995515,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
397,853e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6803571428571429,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
