TPI,ART Link Max,ART Link Mid,Base Infectivity,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,PreART Link Max,PreART Link Mid,PreART Link Min,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Swaziland: Infmrl Condoms Late,Swaziland: LOW Risk,Swaziland: Trns Condoms Late,Trns Condom Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,Male_To_Female_Relative_Infectivity_Multipliers,Nodes.0.Society.INFORMAL.Pair_Formation_Parameters.Formation_Rate_Constant,Nodes.0.Society.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Max,Nodes.0.Society.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Mid,Nodes.0.Society.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Rate,Nodes.0.Society.MARITAL.Pair_Formation_Parameters.Formation_Rate_Constant,Nodes.0.Society.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Max,Nodes.0.Society.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Mid,Nodes.0.Society.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Rate,Nodes.0.Society.TRANSITORY.Pair_Formation_Parameters.Formation_Rate_Constant,Nodes.0.Society.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Max,Nodes.0.Society.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Mid,Nodes.0.Society.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Actual_IndividualIntervention_Config__KP_ART_Link.Ramp_Max,[BUILDER] Actual_IndividualIntervention_Config__KP_ART_Link.Ramp_MidYear,[BUILDER] Actual_IndividualIntervention_Config__KP_PreART_Link.Ramp_Max,[BUILDER] Actual_IndividualIntervention_Config__KP_PreART_Link.Ramp_MidYear,[BUILDER] Actual_IndividualIntervention_Config__KP_PreART_Link.Ramp_Min,[BUILDER] Society__KP_Defaults.INFORMAL.Pair_Formation_Parameters.Formation_Rate_Constant,[BUILDER] Society__KP_Defaults.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Defaults.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Mid,[BUILDER] Society__KP_Defaults.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Society__KP_Defaults.MARITAL.Pair_Formation_Parameters.Formation_Rate_Constant,[BUILDER] Society__KP_Defaults.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Defaults.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Mid,[BUILDER] Society__KP_Defaults.MARITAL.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Society__KP_Defaults.TRANSITORY.Pair_Formation_Parameters.Formation_Rate_Constant,[BUILDER] Society__KP_Defaults.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Defaults.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Mid,[BUILDER] Society__KP_Defaults.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Rate,[BUILDER] Society__KP_Swaziland.INFORMAL.Relationship_Parameters.Condom_Usage_Probability.Max,[BUILDER] Society__KP_Swaziland.TRANSITORY.Relationship_Parameters.Condom_Usage_Probability.Max
1,0.945062332,2010.345922,0.00235,0.438303526,0.001458995,1992.739112,3.11130766,0.251579242,2002.041965,2.729126724,0.000448961,0.853198135,1995.795716,0,1983.959066,0.262189327,15.64767183,0.04154846,17.60118662,0.335152319,0.754677928,0.023073988,0.729057326,1997.51585,3.476309557,0.000136986,"[5.8114935443962485, 5.8114935443962485, 2.758046672204367]",0.001458995,0.335152319,1992.739112,3.11130766,0.000448961,0.251579242,2002.041965,2.729126724,0.000136986,0.023073988,1997.51585,3.476309557,0.945062332,2010.345922,0.853198135,1995.795716,0,0.001458995,0.438303526,1992.739112,3.11130766,0.000448961,0.251579242,2002.041965,2.729126724,0.000136986,0.729057326,1997.51585,3.476309557,0.335152319,0.023073988
2,0.945062332,2010.345922,0.00235,0.438303526,0.001458995,1992.739112,3.11130766,0.251579242,2002.041965,2.729126724,0.000448961,0.853198135,1995.795716,0,1983.959066,0.262189327,15.64767183,0.04154846,17.60118662,0.335152319,0.754677928,0.023073988,0.729057326,1997.51585,3.476309557,0.000136986,"[5.8114935443962485, 5.8114935443962485, 2.758046672204367]",0.001458995,0.335152319,1992.739112,3.11130766,0.000448961,0.251579242,2002.041965,2.729126724,0.000136986,0.023073988,1997.51585,3.476309557,0.945062332,2010.345922,0.853198135,1995.795716,0,0.001458995,0.438303526,1992.739112,3.11130766,0.000448961,0.251579242,2002.041965,2.729126724,0.000136986,0.729057326,1997.51585,3.476309557,0.335152319,0.023073988
3,0.945062332,2010.345922,0.00235,0.438303526,0.001458995,1992.739112,3.11130766,0.251579242,2002.041965,2.729126724,0.000448961,0.853198135,1995.795716,0,1983.959066,0.262189327,15.64767183,0.04154846,17.60118662,0.335152319,0.754677928,0.023073988,0.729057326,1997.51585,3.476309557,0.000136986,"[5.8114935443962485, 5.8114935443962485, 2.758046672204367]",0.001458995,0.335152319,1992.739112,3.11130766,0.000448961,0.251579242,2002.041965,2.729126724,0.000136986,0.023073988,1997.51585,3.476309557,0.945062332,2010.345922,0.853198135,1995.795716,0,0.001458995,0.438303526,1992.739112,3.11130766,0.000448961,0.251579242,2002.041965,2.729126724,0.000136986,0.729057326,1997.51585,3.476309557,0.335152319,0.023073988
4,0.947816828,2010.731262,0.00228756,0.44424091,0.001418732,1990.948863,3.14856951,0.29000958,2001.791685,2.314737566,0.00030427,0.783316654,1994.119866,0.004757836,1984.416059,0.33899452,16.4315461,0.058218194,16.06255762,0.308343613,0.731774862,0.102982624,0.639997034,1996.73534,3.600286018,0.000136986,"[4.62198342545773, 4.62198342545773, 2.352304299253992]",0.001418732,0.308343613,1990.948863,3.14856951,0.00030427,0.29000958,2001.791685,2.314737566,0.000136986,0.102982624,1996.73534,3.600286018,0.947816828,2010.731262,0.783316654,1994.119866,0.004757836,0.001418732,0.44424091,1990.948863,3.14856951,0.00030427,0.29000958,2001.791685,2.314737566,0.000136986,0.639997034,1996.73534,3.600286018,0.308343613,0.102982624
5,0.947816828,2010.731262,0.00228756,0.44424091,0.001418732,1990.948863,3.14856951,0.29000958,2001.791685,2.314737566,0.00030427,0.783316654,1994.119866,0.004757836,1984.416059,0.33899452,16.4315461,0.058218194,16.06255762,0.308343613,0.731774862,0.102982624,0.639997034,1996.73534,3.600286018,0.000136986,"[4.62198342545773, 4.62198342545773, 2.352304299253992]",0.001418732,0.308343613,1990.948863,3.14856951,0.00030427,0.29000958,2001.791685,2.314737566,0.000136986,0.102982624,1996.73534,3.600286018,0.947816828,2010.731262,0.783316654,1994.119866,0.004757836,0.001418732,0.44424091,1990.948863,3.14856951,0.00030427,0.29000958,2001.791685,2.314737566,0.000136986,0.639997034,1996.73534,3.600286018,0.308343613,0.102982624
6,0.947816828,2010.731262,0.00228756,0.44424091,0.001418732,1990.948863,3.14856951,0.29000958,2001.791685,2.314737566,0.00030427,0.783316654,1994.119866,0.004757836,1984.416059,0.33899452,16.4315461,0.058218194,16.06255762,0.308343613,0.731774862,0.102982624,0.639997034,1996.73534,3.600286018,0.000136986,"[4.62198342545773, 4.62198342545773, 2.352304299253992]",0.001418732,0.308343613,1990.948863,3.14856951,0.00030427,0.29000958,2001.791685,2.314737566,0.000136986,0.102982624,1996.73534,3.600286018,0.947816828,2010.731262,0.783316654,1994.119866,0.004757836,0.001418732,0.44424091,1990.948863,3.14856951,0.00030427,0.29000958,2001.791685,2.314737566,0.000136986,0.639997034,1996.73534,3.600286018,0.308343613,0.102982624
7,0.953058511,2010.352458,0.002317618,0.422737214,0.001369516,1992.02194,2.940301191,0.223021169,2002.283786,2.21774672,0.000461241,0.781090636,1995.91752,0.015422525,1982.63851,0.306013824,16.20931306,0.04,17.67923645,0.346736181,0.743038113,0.064321898,0.724882856,1996.41981,3.05084918,0.000136986,"[5.0123855610820875, 5.0123855610820875, 2.8441927725536096]",0.001369516,0.346736181,1992.02194,2.940301191,0.000461241,0.223021169,2002.283786,2.21774672,0.000136986,0.064321898,1996.41981,3.05084918,0.953058511,2010.352458,0.781090636,1995.91752,0.015422525,0.001369516,0.422737214,1992.02194,2.940301191,0.000461241,0.223021169,2002.283786,2.21774672,0.000136986,0.724882856,1996.41981,3.05084918,0.346736181,0.064321898
8,0.953058511,2010.352458,0.002317618,0.422737214,0.001369516,1992.02194,2.940301191,0.223021169,2002.283786,2.21774672,0.000461241,0.781090636,1995.91752,0.015422525,1982.63851,0.306013824,16.20931306,0.04,17.67923645,0.346736181,0.743038113,0.064321898,0.724882856,1996.41981,3.05084918,0.000136986,"[5.0123855610820875, 5.0123855610820875, 2.8441927725536096]",0.001369516,0.346736181,1992.02194,2.940301191,0.000461241,0.223021169,2002.283786,2.21774672,0.000136986,0.064321898,1996.41981,3.05084918,0.953058511,2010.352458,0.781090636,1995.91752,0.015422525,0.001369516,0.422737214,1992.02194,2.940301191,0.000461241,0.223021169,2002.283786,2.21774672,0.000136986,0.724882856,1996.41981,3.05084918,0.346736181,0.064321898
9,0.953058511,2010.352458,0.002317618,0.422737214,0.001369516,1992.02194,2.940301191,0.223021169,2002.283786,2.21774672,0.000461241,0.781090636,1995.91752,0.015422525,1982.63851,0.306013824,16.20931306,0.04,17.67923645,0.346736181,0.743038113,0.064321898,0.724882856,1996.41981,3.05084918,0.000136986,"[5.0123855610820875, 5.0123855610820875, 2.8441927725536096]",0.001369516,0.346736181,1992.02194,2.940301191,0.000461241,0.223021169,2002.283786,2.21774672,0.000136986,0.064321898,1996.41981,3.05084918,0.953058511,2010.352458,0.781090636,1995.91752,0.015422525,0.001369516,0.422737214,1992.02194,2.940301191,0.000461241,0.223021169,2002.283786,2.21774672,0.000136986,0.724882856,1996.41981,3.05084918,0.346736181,0.064321898
10,0.946509836,2011,0.002332448,0.421353489,0.001068601,1992.756017,2.973176594,0.259262043,2002.676205,2.026043241,0.000222941,0.842499563,1995.233278,0,1982.832722,0.293474913,16.11051449,0.04,16.84611053,0.268375395,0.730103063,0.071523288,0.75025979,1995.119696,2.948679012,0.000136986,"[4.426654116729238, 4.426654116729238, 2.813087093741736]",0.001068601,0.268375395,1992.756017,2.973176594,0.000222941,0.259262043,2002.676205,2.026043241,0.000136986,0.071523288,1995.119696,2.948679012,0.946509836,2011,0.842499563,1995.233278,0,0.001068601,0.421353489,1992.756017,2.973176594,0.000222941,0.259262043,2002.676205,2.026043241,0.000136986,0.75025979,1995.119696,2.948679012,0.268375395,0.071523288
